seller_id,category_en,customer_state,n,avg_price,avg_freight,avg_total,median_days,neg_rate
01fd077212124329bac32490e8ef80d9,sports_leisure,RS,2,32.5,18.32,50.82,8.98,0.0
01fd077212124329bac32490e8ef80d9,toys,MG,2,38.0,15.65,53.65,5.63,0.0
01fd077212124329bac32490e8ef80d9,toys,PR,1,39.0,18.23,57.23,6.32,0.0
01fd077212124329bac32490e8ef80d9,toys,RJ,1,39.0,18.23,57.23,10.28,0.0
01fd077212124329bac32490e8ef80d9,toys,SC,1,38.0,6.66,44.66,6.28,0.0
01fd077212124329bac32490e8ef80d9,toys,SP,2,38.5,12.86,51.36,5.66,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,AL,1,104.99,47.26,152.25,33.3,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,BA,1,118.9,38.38,157.28,12.1,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,CE,1,104.99,47.26,152.25,16.47,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,GO,5,90.92,45.38,136.3,14.33,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,MG,12,128.42,25.94,154.37,10.7,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,PR,13,121.62,16.06,137.68,7.23,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,RJ,18,93.65,20.03,113.67,12.86,16.67
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,RS,12,117.51,23.83,141.35,9.41,16.67
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,SC,6,146.92,25.74,172.66,8.98,0.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,SP,59,113.57,17.28,130.85,7.15,3.39
0241d4d5d36f10f80c644447315af0bd,furniture_decor,BA,9,129.61,40.98,170.6,17.41,22.22
0241d4d5d36f10f80c644447315af0bd,furniture_decor,CE,1,99.9,39.14,139.04,15.35,100.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,DF,4,53.65,21.33,74.98,10.48,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,ES,5,165.56,46.07,211.63,10.14,20.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,GO,4,84.48,34.33,118.8,7.96,25.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,MA,1,99.9,36.06,135.96,25.06,100.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,MG,29,114.13,27.1,141.23,9.13,3.45
0241d4d5d36f10f80c644447315af0bd,furniture_decor,MS,3,214.93,38.0,252.93,7.96,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,MT,2,89.9,23.06,112.96,23.1,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,PA,2,174.45,75.29,249.74,18.51,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,PE,3,139.6,47.93,187.53,9.95,33.33
0241d4d5d36f10f80c644447315af0bd,furniture_decor,PR,23,105.59,15.66,121.25,5.04,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,RJ,31,129.77,29.14,158.9,14.03,22.58
0241d4d5d36f10f80c644447315af0bd,furniture_decor,RN,1,39.9,29.38,69.28,40.94,100.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,RS,17,138.65,30.27,168.92,8.51,5.88
0241d4d5d36f10f80c644447315af0bd,furniture_decor,SC,12,106.92,20.16,127.08,10.09,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,SE,1,219.0,69.82,288.82,11.94,0.0
0241d4d5d36f10f80c644447315af0bd,furniture_decor,SP,82,138.05,24.54,162.58,7.9,4.88
0249d282d911d23cb8b869ab49c99f53,sports_leisure,MG,3,31.17,13.21,44.38,10.27,0.0
0249d282d911d23cb8b869ab49c99f53,sports_leisure,RJ,1,36.0,14.1,50.1,8.32,0.0
0249d282d911d23cb8b869ab49c99f53,sports_leisure,SC,1,31.0,15.1,46.1,14.29,0.0
