seller_state,customer_state,n,mean_days,median_days,p90_days,pct_in_10d
MA,MA,14,9.82,7.18,18.68,64.29
MA,MG,31,17.49,15.44,29.13,9.68
MA,MS,3,13.7,12.27,17.23,0.0
MA,MT,4,23.16,23.79,29.2,0.0
MA,PA,5,27.85,26.37,40.81,0.0
MA,PB,4,28.72,21.21,44.5,0.0
MA,PE,21,15.7,12.96,26.79,23.81
MA,PI,5,14.34,14.48,22.44,40.0
MA,PR,9,19.19,17.16,29.42,11.11
MA,RJ,41,16.7,16.11,29.36,29.27
MA,RN,3,21.92,22.78,23.75,0.0
MA,RS,17,19.01,16.09,32.02,0.0
MA,SC,19,16.93,16.51,25.02,10.53
MA,SE,5,29.35,32.08,37.61,0.0
MA,SP,123,16.21,13.47,26.58,22.76
MA,TO,2,23.57,23.57,24.91,0.0
MG,AC,10,22.45,21.04,28.78,0.0
MG,AL,35,22.0,19.91,34.77,5.71
MG,AM,13,27.04,28.83,40.35,15.38
MG,AP,3,25.43,26.86,29.91,0.0
MG,BA,366,18.44,14.99,28.18,17.21
MG,CE,73,20.76,18.0,39.85,6.85
MG,DF,186,11.91,10.83,19.0,41.4
MG,ES,171,16.33,13.25,25.12,29.82
MG,GO,150,14.19,12.57,21.68,26.0
MG,MA,61,20.18,18.56,30.14,6.56
MG,MG,1525,8.7,7.3,15.01,71.87
MG,MS,62,16.22,15.68,22.31,14.52
MG,MT,50,21.44,19.81,31.37,4.0
MG,PA,83,27.35,23.63,37.55,6.02
MG,PB,48,19.51,17.08,34.37,16.67
MG,PE,110,16.61,14.29,25.26,18.18
MG,PI,32,16.0,13.55,22.21,15.62
MG,PR,363,12.77,11.8,19.26,36.36
MG,RJ,1134,14.2,11.41,24.72,39.86
MG,RN,29,16.0,14.04,23.0,17.24
MG,RO,14,17.51,16.92,26.22,14.29
MG,RR,2,16.53,16.53,20.27,0.0
MG,RS,278,17.22,15.74,27.81,17.99
MG,SC,251,17.21,15.21,27.35,19.52
MG,SE,36,25.34,18.44,34.91,2.78
MG,SP,2546,10.9,9.22,18.33,54.63
MG,TO,16,16.36,14.5,22.25,18.75
MS,AC,1,19.96,19.96,19.96,0.0
MS,BA,3,31.02,34.72,43.12,0.0
MS,DF,4,10.24,10.12,13.06,50.0
MS,GO,1,11.13,11.13,11.13,0.0
MS,MG,4,15.73,15.89,22.64,25.0
MS,MT,2,12.26,12.26,12.27,0.0
MS,PR,3,10.1,8.72,12.03,66.67
MS,RJ,9,11.45,9.54,18.97,55.56
MS,RS,1,9.11,9.11,9.11,100.0
MS,SC,1,13.56,13.56,13.56,0.0
MS,SP,18,9.56,8.55,14.53,61.11
MT,BA,4,14.05,11.96,18.74,0.0
MT,CE,2,24.22,24.22,28.29,0.0
MT,DF,6,11.22,8.91,16.79,66.67
MT,ES,2,22.05,22.05,25.33,0.0
MT,GO,10,12.08,12.08,15.47,20.0
MT,MA,3,19.88,17.98,23.8,0.0
MT,MG,20,13.21,12.25,17.87,15.0
MT,MS,5,13.28,14.43,16.81,20.0
MT,MT,6,11.48,11.02,15.82,33.33
MT,PA,3,25.2,20.6,32.8,0.0
MT,PB,2,27.6,27.6,32.18,0.0
MT,PE,6,26.09,26.35,39.89,16.67
MT,PR,8,13.72,15.07,15.57,12.5
MT,RJ,13,14.0,11.83,21.76,23.08
MT,RN,1,15.16,15.16,15.16,0.0
MT,RO,2,13.98,13.98,16.7,0.0
MT,RS,6,14.88,11.98,21.17,0.0
MT,SC,5,17.29,17.06,19.17,0.0
MT,SP,30,12.86,12.14,17.59,23.33
PA,MG,1,14.02,14.02,14.02,0.0
PA,PR,1,3.46,3.46,3.46,100.0
PA,SP,6,14.99,13.02,23.26,16.67
PB,AL,1,31.1,31.1,31.1,0.0
PB,BA,2,14.25,14.25,19.04,50.0
PB,CE,2,7.4,7.4,7.67,100.0
PB,DF,1,16.8,16.8,16.8,0.0
PB,ES,1,23.18,23.18,23.18,0.0
PB,MA,1,7.18,7.18,7.18,100.0
PB,MG,2,9.57,9.57,10.12,50.0
PB,MT,1,16.96,16.96,16.96,0.0
PB,PA,1,19.33,19.33,19.33,0.0
PB,PB,1,8.12,8.12,8.12,100.0
PB,PE,2,6.72,6.72,8.66,100.0
PB,RJ,9,14.46,12.78,20.77,33.33
PB,RN,1,11.08,11.08,11.08,0.0
PB,SE,1,11.08,11.08,11.08,0.0
PB,SP,7,11.23,10.33,15.53,42.86
PE,AL,9,16.96,17.46,22.45,22.22
PE,AP,1,30.03,30.03,30.03,0.0
PE,BA,26,11.74,11.94,16.46,34.62
PE,CE,17,10.91,9.16,13.15,58.82
PE,DF,15,11.59,9.33,17.56,53.33
PE,ES,17,13.55,13.27,18.91,17.65
PE,GO,12,14.0,14.49,20.19,25.0
PE,MA,5,12.74,11.02,17.66,40.0
PE,MG,62,11.72,10.82,17.72,45.16
PE,MS,2,14.26,14.26,17.13,0.0
PE,MT,1,20.98,20.98,20.98,0.0
PE,PA,5,20.36,17.92,28.93,0.0
PE,PB,8,11.11,7.67,18.08,75.0
PE,PE,23,6.79,5.37,12.8,78.26
PE,PI,8,18.44,16.95,26.57,12.5
PE,PR,9,14.9,12.14,21.88,22.22
PE,RJ,42,14.22,11.58,21.85,28.57
PE,RN,4,8.52,7.2,12.86,75.0
PE,RO,3,20.43,19.16,23.81,0.0
PE,RS,13,19.62,14.28,30.93,15.38
PE,SC,9,18.87,16.14,28.42,0.0
PE,SE,7,11.37,10.34,14.27,14.29
PE,SP,104,11.89,10.17,18.56,44.23
PE,TO,1,15.29,15.29,15.29,0.0
PI,CE,1,13.01,13.01,13.01,0.0
PI,MA,1,5.84,5.84,5.84,100.0
